# 
# linear matter power power spectrum (Eisenstein-Hu zero baryon model) 
# parameters: h = 0.7, Om0 = 0.3, Ob0 = 0.05, Tcmb0 = 2.725, ns = 1. 
# columns: [1] k from 1e-8 to 1e+8, [2] un-normalised power
# 
1.000000000000000021e-08,1.209474711177559517e-02
1.076465213629835028e-08,1.301957453347242673e-02
1.158777356155126198e-08,1.401511908153906839e-02
1.247383514242943222e-08,1.508678815615043314e-02
1.342764961137864225e-08,1.624040263549093518e-02
1.445439770745927916e-08,1.748222849243880050e-02
1.555965631605075123e-08,1.881901082882689660e-02
1.674942876026438180e-08,2.025801051214056250e-02
1.803017740859570056e-08,2.180704361364843580e-02
1.940885877592779342e-08,2.347452386217822873e-02
2.089296130854040800e-08,2.526950834412968958e-02
2.249054605835782736e-08,2.720174669794874281e-02
2.421029046736180026e-08,2.928173407026749692e-02
2.606153549998897653e-08,3.152076812134692319e-02
2.805433637951716075e-08,3.393101038945287723e-02
3.019951720402019445e-08,3.652555234747205393e-02
3.250872973854347160e-08,3.931848651056132904e-02
3.499451670283576686e-08,4.232498298105859952e-02
3.767037989839092806e-08,4.556137184641652349e-02
4.055085354483835236e-08,4.904523187771162723e-02
4.365158322401656592e-08,5.279548601050442630e-02
4.698941086052151326e-08,5.683250412666280421e-02
5.058246620031137291e-08,6.117821369542011251e-02
5.445026528424209160e-08,6.585621887462518587e-02
5.861381645140284854e-08,7.089192871909417992e-02
6.309573444801929638e-08,7.631269519244196498e-02
6.792036326171843236e-08,8.214796173201657781e-02
7.311390834834172969e-08,8.842942317388341467e-02
7.870457896950984185e-08,9.519119790650648616e-02
8.472274141405962591e-08,1.024700131881976922e-01
9.120108393559096371e-08,1.103054046349031397e-01
9.817479430199843817e-08,1.187399309618649840e-01
1.056817509213658581e-07,1.278194051455493474e-01
1.137627285823430958e-07,1.375931432614188044e-01
1.224616199265048831e-07,1.481142323491365653e-01
1.318256738556407445e-07,1.594398187601385186e-01
1.419057521689092494e-07,1.716314185537611281e-01
1.527566058238073228e-07,1.847552516278727630e-01
1.644371723214932284e-07,1.988826013988695962e-01
1.770108958317421883e-07,2.140902019846752102e-01
1.905460717963248274e-07,2.304606549937631144e-01
2.051162178825566768e-07,2.480828781840337394e-01
2.208004733018901529e-07,2.670525884284772888e-01
2.376840286624878359e-07,2.874728216108961565e-01
2.558585886905642858e-07,3.094544922755482763e-01
2.754228703338163154e-07,3.331169960705034350e-01
2.964831389524339351e-07,3.585888582569265459e-01
3.191537855100758438e-07,3.860084318067399378e-01
3.435579478998743082e-07,4.155246488804258398e-01
3.698281797802658751e-07,4.472978297666962422e-01
3.981071705534969225e-07,4.815005536778430018e-01
4.285485203974392283e-07,5.183185961305664113e-01
4.613175745603790962e-07,5.579519380037341048e-01
4.965923214503357905e-07,6.006158517538385810e-01
5.345643593969713347e-07,6.465420706880065094e-01
5.754399373371566533e-07,6.959800476455323404e-01
6.194410750767811828e-07,7.491983099245370648e-01
6.668067692136218209e-07,8.064859178130969752e-01
7.177942912713614822e-07,8.681540346469124314e-01
7.726805850957021356e-07,9.345376169213251982e-01
8.317637711026708743e-07,1.005997233637558885e+00
8.953647655495937465e-07,1.082921024764968099e+00
9.638290236239705512e-07,1.165726809456659518e+00
1.037528415818012614e-06,1.254864355469193837e+00
1.116863247780561225e-06,1.350817822112612365e+00
1.202264434617413179e-06,1.454108389999481776e+00
1.294195841449986342e-06,1.565297091876181490e+00
1.393156802945303442e-06,1.684987859911699415e+00
1.499684835502374138e-06,1.813830805994777418e+00
1.614358556826486854e-06,1.952525752855628571e+00
1.737800828749376344e-06,2.101826035190577535e+00
1.870682140365801502e-06,2.262542591434215211e+00
2.013724249862389300e-06,2.435548368401926567e+00
2.167704104819696308e-06,2.621783062724558633e+00
2.333458062281004341e-06,2.822258224825672013e+00
2.511886431509582273e-06,3.038062753160278184e+00
2.703958364108846297e-06,3.270368808552697182e+00
2.910717118066608112e-06,3.520438180751825463e+00
3.133285724315588827e-06,3.789629141776840626e+00
3.372873086588692475e-06,4.079403823268584084e+00
3.630780547701017474e-06,4.391336157905717741e+00
3.908408957924024766e-06,4.727120428005610719e+00
4.207266283844446237e-06,5.088580467724321821e+00
4.528975799036213360e-06,5.477679568815569944e+00
4.875284901033870209e-06,5.896531143724530466e+00
5.248074602497734110e-06,6.347410203898633974e+00
5.649369748123033675e-06,6.832765715617024505e+00
6.081350012787188648e-06,7.355233900395498736e+00
6.546361740672746848e-06,7.917652552140935995e+00
7.046930689671466810e-06,8.523076448734897781e+00
7.585775750291835657e-06,9.174793941649197038e+00
8.165823713585922087e-06,9.876344813569149395e+00
8.790225168308842565e-06,1.063153950085418309e+01
9.462371613657929951e-06,1.144447978503835550e+01
1.018591388054116990e-05,1.231958106550150944e+01
1.096478196143185184e-05,1.326159633396695803e+01
1.180320635651729795e-05,1.427564198064604994e+01
1.270574105208541947e-05,1.536722557170082482e+01
1.367728825595849546e-05,1.654227574828054514e+01
1.472312502432719426e-05,1.780717440875944746e+01
1.584893192461114123e-05,1.916879134801413898e+01
1.706082389003124391e-05,2.063452154068892952e+01
1.836538343348347529e-05,2.221232526946365127e+01
1.976969640111861910e-05,2.391077131442568060e+01
2.128139045982713475e-05,2.573908343581879166e+01
2.290867652767770155e-05,2.770719039976223641e+01
2.466039337234336040e-05,2.982577981507346365e+01
2.654605561975536269e-05,3.210635606914900819e+01
2.857590543374943694e-05,3.456130267203472073e+01
3.076096814740704813e-05,3.720394934040256629e+01
3.311311214825907629e-05,4.004864417721275061e+01
3.564511334262439096e-05,4.311083132842645682e+01
3.837072454922784603e-05,4.640713452528439831e+01
4.130475019901610459e-05,4.995544694941098385e+01
4.446312674691083635e-05,5.377502788834528502e+01
4.786300923226380360e-05,5.788660668102087214e+01
5.152286445817561423e-05,6.231249448616214437e+01
5.546257129579104791e-05,6.707670444143458610e+01
5.970352865838365826e-05,7.220508081732560868e+01
6.426877173170194169e-05,7.772543780691135851e+01
6.918309709189362545e-05,8.366770863056319740e+01
7.447319739059889176e-05,9.006410567282998159e+01
8.016780633876789805e-05,9.694929240662219172e+01
8.629785477669701867e-05,1.043605678966675754e+02
9.289663867799362947e-05,1.123380647090317552e+02
1.000000000000000048e-04,1.209249610850691852e+02
1.076465213629834987e-04,1.301677082649177351e+02
