# # Redshift, Cellsize, Shape, Loc, Scale, Mean, Variance, Skewness
4.995933468164624358e+00,1.250000000000000000e+01,2.623058467456117482e-01,-3.756616294142614554e-02,9.091704953543408574e-02,-4.274756532828612177e-03,8.427079314356688763e-03,4.796049624322640953e-02
4.995933468164624358e+00,6.250000000000000000e+00,2.260312055603764247e-01,-7.136937634561740795e-02,1.529775700386130088e-01,-1.159034064384512758e-02,2.496105236559785848e-02,1.656640135234688782e-01
4.995933468164624358e+00,4.166666666666666963e+00,2.090652001100999913e-01,-9.655913547367295235e-02,1.929157513882391872e-01,-1.887581984759324760e-02,4.062456868167429319e-02,2.228898221158683302e-01
4.995933468164624358e+00,3.125000000000000000e+00,1.746754416848389502e-01,-1.206639214370744950e-01,2.223080805268827786e-01,-2.558609764391019115e-02,5.676993534669291797e-02,3.439630516922720371e-01
4.995933468164624358e+00,2.083333333333333481e+00,1.442114817352135869e-01,-1.632438368572243503e-01,2.755186314609355813e-01,-3.901758822120501846e-02,9.167403550657994560e-02,4.579532823370792705e-01
3.994403908756820165e+00,1.250000000000000000e+01,2.570039443115144095e-01,-4.725348598112456833e-02,1.106524688309764165e-01,-6.345495964251858523e-03,1.256095895098326837e-02,6.480528807130832292e-02
3.994403908756820165e+00,6.250000000000000000e+00,2.193997441567286655e-01,-9.061571706113280555e-02,1.851954750573097108e-01,-1.739070110181899220e-02,3.690856453196354053e-02,1.878522092298093027e-01
3.994403908756820165e+00,4.166666666666666963e+00,1.969464971348733051e-01,-1.228888959492618616e-01,2.307109007374848197e-01,-2.798460699785239314e-02,5.911776272705895896e-02,2.647325732643246443e-01
3.994403908756820165e+00,3.125000000000000000e+00,1.639442590409412870e-01,-1.535219199280390967e-01,2.652520319670098603e-01,-3.794125461362553298e-02,8.221465655351636870e-02,3.833250499986856630e-01
3.994403908756820165e+00,2.083333333333333481e+00,1.321478706714387663e-01,-2.051209685882125489e-01,3.221940996232882104e-01,-5.679570238219522338e-02,1.280453568334027070e-01,5.051494074316228433e-01
2.994588451563881648e+00,1.250000000000000000e+01,2.442778373187662333e-01,-6.371724928456148906e-02,1.408268767811693412e-01,-1.044883288649026826e-02,2.066326066351092949e-02,1.057205265804321143e-01
2.994588451563881648e+00,6.250000000000000000e+00,2.075680438042288856e-01,-1.226646434659382223e-01,2.332372691363748252e-01,-2.849647453149947718e-02,5.950634243562145931e-02,2.280138547282858086e-01
2.994588451563881648e+00,4.166666666666666963e+00,1.847210984626835584e-01,-1.668295354190551250e-01,2.883177017990113944e-01,-4.566219992543943396e-02,9.402090333547162559e-02,3.078317174390385325e-01
2.994588451563881648e+00,3.125000000000000000e+00,1.564406095484290327e-01,-2.072131432221004932e-01,3.293312361394506449e-01,-6.183135100216263780e-02,1.283033596904868401e-01,4.113467583970754071e-01
2.994588451563881648e+00,2.083333333333333481e+00,1.295072194324525250e-01,-2.733443454763715419e-01,3.923758464534740087e-01,-9.188702919809638159e-02,1.908044914036198247e-01,5.156518208520202151e-01
2.006095046489765998e+00,1.250000000000000000e+01,2.313753428812120871e-01,-9.441252860506740840e-02,1.925623570395972317e-01,-1.987673255222455193e-02,3.927376753256926756e-02,1.479433113402196520e-01
2.006095046489765998e+00,6.250000000000000000e+00,1.959167501691161661e-01,-1.812574662287196881e-01,3.118422019542365087e-01,-5.274736760077872177e-02,1.081695522895995271e-01,2.683274910956829351e-01
2.006095046489765998e+00,4.166666666666666963e+00,1.672870635221615498e-01,-2.484516664660122442e-01,3.792405670127280137e-01,-8.415827613461793200e-02,1.671560313645476803e-01,3.709757508739092713e-01
2.006095046489765998e+00,3.125000000000000000e+00,1.491599513275662092e-01,-3.061620649131151506e-01,4.295407946892380036e-01,-1.141390005559188570e-01,2.209439635169432592e-01,4.389496024312968814e-01
2.006095046489765998e+00,2.083333333333333481e+00,1.349318763725409487e-01,-3.980663395660204440e-01,5.031497472843953211e-01,-1.675446479185717930e-01,3.107233085457865585e-01,4.941449016513406733e-01
1.002709439784216894e+00,1.250000000000000000e+01,2.147059023378864451e-01,-1.658702451511424036e-01,2.949306453563963482e-01,-4.828428260440302544e-02,9.420847408688892699e-02,2.036949750933649272e-01
1.002709439784216894e+00,6.250000000000000000e+00,1.798575348491423254e-01,-3.134456052029305217e-01,4.555702854546532232e-01,-1.203568411159864071e-01,2.364951715514318764e-01,3.252409360086521706e-01
1.002709439784216894e+00,4.166666666666666963e+00,1.426427240717682010e-01,-4.320178612848247779e-01,5.376966582193609678e-01,-1.889228497908248539e-01,3.501019202012203291e-01,4.640200600249458351e-01
1.002709439784216894e+00,3.125000000000000000e+00,1.266603488864510019e-01,-5.271035344498682385e-01,5.967701110840695211e-01,-2.497670492683407018e-01,4.436417721736706232e-01,5.270461172797825666e-01
1.002709439784216894e+00,2.083333333333333481e+00,1.100627281446938110e-01,-6.760288354058123783e-01,6.784370640746073544e-01,-3.516197519744359568e-01,5.913548273362666530e-01,5.950334972505196829e-01
4.440892098500626162e-16,1.250000000000000000e+01,1.792931990293319955e-01,-3.339199383222479778e-01,4.698725767586612312e-01,-1.345731777664979922e-01,2.517964989540141807e-01,3.272710516279051518e-01
4.440892098500626162e-16,6.250000000000000000e+00,1.526948192423576434e-01,-6.134804609283970311e-01,6.846368346735575150e-01,-3.092842228918714076e-01,5.579628036360447796e-01,4.254958629530205538e-01
4.440892098500626162e-16,4.166666666666666963e+00,1.128570683556873178e-01,-8.265534284958924172e-01,7.729371157618041277e-01,-4.587251650869299535e-01,7.635069557088441927e-01,5.833940699522424111e-01
4.440892098500626162e-16,3.125000000000000000e+00,9.870871009526790973e-02,-9.753158109433014422e-01,8.320160537419734048e-01,-5.696499650390822733e-01,9.091871870456572635e-01,6.431848548306275948e-01
4.440892098500626162e-16,2.083333333333333481e+00,8.890620628044379470e-02,-1.206951666809626289e+00,9.156146967323084418e-01,-7.529699087744536889e-01,1.122870861710621782e+00,6.859275572466069226e-01
